# icons/classification.txt
# Generated 2026-08-23 -- IATA/ICAO code -> airline classification for icons/*_logo.gif
# Purpose: avoid re-researching airline status/continent from scratch on future icon-library cleanups.
# Columns are tab-separated (safe to load with csv.reader(f, delimiter='	') or awk -F'	').
#
# folder      = subfolder under icons/ this code currently lives in
# status      = active | defunct | state (military/government callsign, not a commercial airline) | unknown (unidentified code)
# continent   = asia | europe | americas | africa_me | oceania | global (major long-haul carriers kept everywhere)
# sg_relevant = true if SG-based, serves Changi, or a major long-haul carrier likely overhead Singapore
#
code	folder   	status 	continent	sg_relevant	name                                                               	note
----	---------	-------	---------	-----------	-------------------------------------------------------------------	--------------------------------------------------------------------------------------------------------------------------
00	global	state	global	true	Generic Aircraft (Default)	Default blank white tailfin silhouette, used as fallback for unassigned/general traffic
1i	americas	active	americas	false	NetJets	US private business jet fractional fleet & charter
2k	defunct	defunct	americas	false	Aerogal (Aerolineas Galapagos)	Merged into Avianca Ecuador in 2013, brand retired
2l	europe	active	europe	false	Helvetic Airways	Swiss regional/charter carrier
2p	asia	active	asia	false	Philippines AirAsia	Mostly Philippines domestic/regional
2q	americas	active	americas	false	Air Cargo Carriers	US cargo airline based in Milwaukee, Wisconsin
3k	asia	active	asia	true	Jetstar Asia	Singapore-based carrier
3l	global	active	africa_me	false	Air Arabia Abu Dhabi	UAE low-cost carrier flying to Asia, Europe, Middle East
3m	americas	active	americas	false	Silver Airways	US regional (Florida/Caribbean)
3o	global	active	africa_me	false	Air Arabia Maroc	Morocco-based LCC subsidiary
3u	global	active	asia	true	Sichuan Airlines	Major Chinese carrier, growing international network
3v	global	active	europe	false	ASL Airlines Belgium	Cargo carrier
3y	europe	active	europe	false	Yamal Airlines	Russian regional, limited international reach post-2022 sanctions
4c	americas	active	americas	false	LATAM Colombia (ex-Aires)	
4y	global	active	europe	false	Discover Airlines	German leisure carrier in Lufthansa Group flying to North America, Africa, Caribbean
5h	defunct	defunct	africa_me	false	Fly540	Kenya-based carrier, ceased operations in 2022
5j	asia	active	asia	true	Cebu Pacific	Philippines LCC, flies to Singapore
5o	europe	active	europe	false	ASL Airlines France	Cargo carrier
5t	americas	active	americas	false	Canadian North	Canadian regional
5w	europe	active	europe	false	Wizz Air Malta	
5x	global	active	americas	true	UPS Airlines	Global cargo, serves Asia hubs
5y	global	active	americas	true	Atlas Air	Global cargo/charter
6b	defunct	defunct	europe	false	Blue1	Finnish carrier, ceased operations 2016
6e	global	active	asia	true	IndiGo	India's largest carrier, serves Singapore
7c	asia	active	asia	true	Jeju Air	Korean LCC with SEA routes
7g	asia	active	asia	false	Star Flyer	Japan domestic only
8c	global	active	americas	true	Air Transport International (ATI)	Major US cargo airline operating 767 freighters for Amazon/DHL/military worldwide
9c	asia	active	asia	true	Spring Airlines	Chinese LCC with some SEA routes
9e	americas	active	americas	false	Endeavor Air	Delta Connection US regional
9p	asia	active	asia	false	Fly Jinnah	Pakistani LCC, domestic/regional focus
9t	americas	active	americas	false	Transwest Air	Canadian regional
9w	defunct	defunct	asia	false	Jet Airways	Ceased ops 2019; relaunch attempts stalled, not commercially flying as of 2026
a0	europe	active	europe	false	BA Euroflyer	British Airways Gatwick-based short-haul subsidiary
a3	global	active	europe	false	Aegean Airlines	
a5	defunct	defunct	europe	false	HOP! (Air France)	Brand retired 2021, absorbed into Air France
aa	global	active	americas	false	American Airlines	Major US carrier, no direct Singapore route
ab	defunct	defunct	europe	false	Air Berlin	Ceased operations 2017
ac	global	active	americas	false	Air Canada	No direct Singapore route
ad	global	active	americas	false	Azul Brazilian Airlines	
adb	global	active	europe	false	Antonov Airlines	Ukrainian heavy-lift cargo operator (state design bureau), callsign ADB
af	global	active	europe	true	Air France	Serves Singapore
ai	global	active	asia	true	Air India	
ak	asia	active	asia	true	AirAsia	Malaysia-based, major SG connectivity
am	global	active	americas	false	Aeromexico	
an	defunct	defunct	oceania	false	Ansett Australia	Ceased operations 2001
ao	defunct	defunct	oceania	false	Australian Air Express	Australian cargo airline, merged into Qantas Freight
ar	global	active	americas	false	Aerolineas Argentinas	
as	americas	active	americas	false	Alaska Airlines	
asy	oceania	state	oceania	false	Royal Australian Air Force (RAAF)	Military callsign ASY / AUSSIE
at	global	active	africa_me	false	Royal Air Maroc	
av	global	active	americas	false	Avianca	
ax	defunct	defunct	americas	false	Trans States Airlines	Ceased operations 2020
ay	global	active	europe	false	Finnair	No current direct Singapore route
az	global	active	europe	false	ITA Airways	Successor to Alitalia
b6	global	active	americas	false	JetBlue	
ba	global	active	europe	true	British Airways	Serves Singapore
bc	asia	active	asia	false	Skymark Airlines	Japan domestic
bd	defunct	defunct	europe	false	bmi (British Midland)	Ceased operations 2012
be	defunct	defunct	europe	false	Flybe	Ceased 2020, brief relaunch failed again 2023
bf	global	active	europe	false	French Bee	
bi	global	active	asia	true	Royal Brunei Airlines	Regional neighbor, flies near/to Singapore
br	global	active	asia	true	EVA Air	Major Taiwanese carrier, serves Singapore
bs	asia	active	asia	false	US-Bangla Airlines	
bt	europe	active	europe	false	airBaltic	
bw	americas	active	americas	false	Caribbean Airlines	
by	global	active	europe	false	TUI Airways	
bz	europe	active	europe	false	Bluebird Airways	Greek scheduled & charter carrier based in Heraklion, Crete
c5	americas	active	americas	false	CommutAir	US regional
c8	global	active	europe	false	Cargolux Italia	Italian cargo airline based in Milan Malpensa, operating 747 freighters to Asia/Americas
ca	global	active	asia	true	Air China	
cc	global	active	europe	false	Air Atlanta Icelandic	Charter/ACMI wet-lease carrier
cfc	americas	state	americas	false	Royal Canadian Air Force	Military callsign CFC / CANFORCE
ci	global	active	asia	true	China Airlines	
ck	global	active	asia	true	China Cargo Airlines	
cl	europe	active	europe	false	Lufthansa CityLine	
cm	americas	active	americas	false	Copa Airlines	
cp	defunct	defunct	americas	false	Compass Airlines	Ceased operations 2020
cul	global	active	americas	false	Coulson Aviation	US/Canada aerial firefighting operating globally including Australia bushfire seasons
cv	global	active	europe	true	Cargolux	Major global cargo carrier, serves Asia
cx	global	active	asia	true	Cathay Pacific	
cz	global	active	asia	true	China Southern Airlines	
d0	global	active	europe	true	DHL Air UK	UK-based DHL long-haul cargo carrier (777/767 fleet)
d5	global	active	americas	false	DHL Aero Expreso	Panama-based DHL cargo airline operating across Americas
d7	global	active	asia	true	AirAsia X	Long-haul LCC from Malaysia
d8	europe	active	europe	false	Norwegian Air Sweden	
dd	asia	active	asia	false	Nok Air	Thailand domestic
de	global	active	europe	false	Condor	
dh	defunct	defunct	americas	false	Independence Air	US carrier, ceased 2006; code may have been reused since
dj	defunct	defunct	oceania	false	Virgin Australia (Virgin Blue)	Legacy IATA code DJ for Virgin Blue, rebranded to VA
dl	global	active	americas	false	Delta Air Lines	No direct Singapore route
ds	europe	active	europe	false	easyJet Switzerland	
dx	europe	active	europe	false	Danish Air Transport	
dy	europe	active	europe	false	Norwegian Air Shuttle	
e4	europe	active	europe	false	Enter Air	Polish charter carrier
e5	global	active	africa_me	false	Air Arabia Egypt	Code previously used by Samara Airlines (defunct)
